,n,l,i,epi,smt,para
0,0.21990389245917408,0.8801711640457525,0.014483929775013097,0,0.2,0.2
1,0.32078459689621824,0.8286664915619055,0.06059380677375286,0,0.30000000000000004,0.3
2,0.400932014003818,0.7889865160912035,0.13227405669833814,0,0.4000000000000001,0.4
3,0.46014087929727593,0.7603445668128809,0.21159450864460283,0,0.5000000000000001,0.5
4,0.5031626136379647,0.7399060833637319,0.2869642420330549,0,0.6000000000000001,0.6
5,0.5348271811042049,0.7250804576120133,0.35398896294829696,0,0.7000000000000002,0.7
6,0.5587002758574174,0.7140359610596164,0.41203185018463157,0,0.8000000000000003,0.8
7,0.5771801837663033,0.7055717587556029,0.4618921583463728,0,0.9000000000000001,0.9
8,0.5918479309175747,0.6989103436190888,0.504745760769638,0,1.0000000000000002,1.0
9,0.6037543029136866,0.6935420668997403,0.5417414795132452,0,1.1000000000000003,1.1
10,0.6136111329344626,0.6891255352045614,0.5738758281917661,0,1.2000000000000004,1.2
11,0.6219117018197654,0.6854263998970791,0.6019741431746812,0,1.3000000000000003,1.3
12,0.629005813425261,0.6822798268976469,0.6267076237373636,0,1.4000000000000004,1.4
13,0.6351470548459808,0.6795671749938726,0.6486191369477486,0,1.5000000000000004,1.5
14,0.6405230650903732,0.6772012150148524,0.6681481261181744,0,1.6000000000000003,1.6
15,0.6452753157851926,0.6751165555195582,0.6856517657179066,0,1.7000000000000004,1.7
16,0.6495123089015418,0.6732633034608807,0.701422020828227,0,1.8000000000000005,1.8
17,0.6533185624195709,0.6716027770736872,0.7156990960579221,0,1.9000000000000006,1.9
18,0.6567608471237202,0.6701045481881001,0.7286819431519035,0,2.000000000000001,2.0
19,0.6598925942903916,0.6687443633727372,0.7405364547896288,0,2.1000000000000005,2.1
20,0.6627570634632038,0.6675026573298523,0.751401866519884,0,2.200000000000001,2.2
21,0.6653896548415407,0.6663634727000752,0.7613957792744247,0,2.3000000000000007,2.3
22,0.667819621769996,0.6653136635025519,0.7706181206466156,0,2.400000000000001,2.4
23,0.6700713559942111,0.6643422996657375,0.7791542877706124,0,2.500000000000001,2.5
24,0.6721653642636065,0.6634402162291643,0.7870776564458946,0,2.600000000000001,2.6
25,0.6741190189555187,0.662599668052922,0.7944515969551624,0,2.700000000000001,2.7
26,0.6759471411819069,0.6618140624546055,0.8013311037000754,0,2.800000000000001,2.8
27,0.6776624582692169,0.661077750086329,0.807764120704659,0,2.9000000000000012,2.9
28,0.6792759660022306,0.6603858598202449,0.8137926261474141,0,3.000000000000001,3.0
29,0.6807972179379104,0.6597341672322177,0.8194535248113984,0,3.100000000000001,3.1
30,0.6822345583398834,0.6591189889840274,0.8247793865122697,0,3.2,3.2
31,0.6835953111404446,0.6585370973496857,0.8297990603075133,0,3.3000000000000003,3.3
32,0.6848859343198703,0.6579856505433233,0.8345381879603321,0,3.4000000000000004,3.4
33,0.6861121468743078,0.6574621355410513,0.8390196352529107,0,3.5000000000000004,3.5
