,n,l,i,epi,smt,para
5,0.5751268979553059,0.7060562541674149,0.3092855370311121,0,0.7000000000000002,0.7
6,0.6043027694331893,0.6927732283783452,0.36831373219697267,0,0.8000000000000003,0.8
7,0.6267983738478087,0.6826590020381339,0.420015964637979,0,0.9000000000000001,0.9
8,0.6445027534846788,0.6747847601808389,0.4650622405341102,0,1.0000000000000002,1.0
9,0.6587122764340182,0.6685246165983433,0.5043319086612582,0,1.1000000000000003,1.1
10,0.6703227168088928,0.6634523119661165,0.538684835591808,0,1.2000000000000004,1.2
11,0.679962314017494,0.6592724656870241,0.5688819127080947,0,1.3000000000000003,1.3
12,0.6880796311971867,0.6557763303165708,0.5955684199486491,0,1.4000000000000004,1.4
13,0.6950009366628227,0.6528134257426517,0.6192814575087022,0,1.5000000000000004,1.5
14,0.7009678695034226,0.6502731873474745,0.640464885483385,0,1.6000000000000003,1.6
15,0.706162469051408,0.648072914552202,0.659485086771729,0,1.7000000000000004,1.7
16,0.7107240662533498,0.6461497189143023,0.6766451305438813,0,1.8000000000000005,1.8
17,0.7147608732966645,0.6444550472962194,0.6921966923319252,0,1.9000000000000006,1.9
18,0.7183580688386986,0.6429508902752722,0.7063497840973834,0,2.000000000000001,2.0
19,0.7215835302537693,0.6416071123871079,0.7192805829811185,0,2.1000000000000005,2.1
20,0.7244919607065236,0.6403995418853312,0.7311376928068052,0,2.2,2.2
21,0.7271279040213011,0.6393085832028094,0.7420471459651381,0,2.3000000000000003,2.3
22,0.729527977296964,0.6383181948000664,0.7521164052500363,0,2.4000000000000004,2.4
23,0.731722545440245,0.6374151262344774,0.7614375758083132,0,2.5000000000000004,2.5
24,0.7337369921509113,0.6365883417077293,0.7700899938444186,0,2.6000000000000005,2.6
25,0.7355926953774209,0.6358285795254318,0.7781423228568155,0,2.7000000000000006,2.7
26,0.7373077837529974,0.6351280118348182,0.7856542595896538,0,2.8000000000000007,2.8
27,0.7388977288878213,0.6344799792027133,0.7926779294781743,0,2.900000000000001,2.9
28,0.7403758133448273,0.633878781652592,0.7992590339610245,0,3.000000000000001,3.0
29,0.7417535035300699,0.6333195127254487,0.8054377985607506,0,3.100000000000001,3.1
30,0.7430407491786787,0.6327979266377917,0.8112497602118496,0,3.200000000000001,3.2
31,0.7442462256782928,0.6323103311274907,0.816726424242318,0,3.300000000000001,3.3
32,0.7453775315119736,0.6318535004040506,0.8218958151435033,0,3.4000000000000012,3.4
33,0.7464413501907493,0.631424603957535,0.826782940375258,0,3.5000000000000013,3.5
34,0.747443583884514,0.6310211479700024,0.8314101826284336,0,3.6000000000000014,3.6
35,0.7483894643412313,0.6306409268120715,0.8357976329607194,0,3.7000000000000015,3.7
36,0.749283645461627,0.6302819826634734,0.8399633748485826,0,3.8000000000000016,3.8
37,0.7501302809655787,0.6299425717188061,0.8439237273163775,0,3.9000000000000017,3.9
38,0.7509330898721207,0.6296211357627675,0.8476934538040423,0,4.000000000000002,4.0
39,0.7516954119629279,0.6293162781482085,0.8512859422352093,0,4.100000000000001,4.1
40,0.7524202549695965,0.6290267434035257,0.8547133607826514,0,4.2,4.2
