,n,ns,l,ls,i,is,epi,smt,para
0,0.22279756771839945,0.015120364214070602,0.8816837829031213,0.006430456430717002,0.018175307713678483,0.046625716146343615,0,0.2,0.2
1,0.326569322565528,0.019263968431779636,0.8268958947740047,0.007363565066064184,0.0673362115196072,0.04603364682997361,0,0.30000000000000004,0.3
2,0.4002804854190214,0.009225821456755509,0.7889270789365423,0.007374278487765622,0.13061578983374378,0.01549605112384058,0,0.4000000000000001,0.4
3,0.4576525221134745,0.012135698392378762,0.7600221027488782,0.007704528204856441,0.20898314494151535,0.01299998365334873,0,0.5000000000000001,0.5
4,0.49381030611583254,0.011684632204237414,0.7403753059810046,0.006266066372317747,0.2774346133529393,0.019484811965307058,0,0.6000000000000001,0.6
5,0.5359523350855481,0.017502028641017797,0.7268724591191825,0.006470485169949337,0.3562827185185278,0.02634163019938499,0,0.7000000000000002,0.7
6,0.5653970683795606,0.012951173417174467,0.7119273267566769,0.0063115822797455345,0.42153705815198184,0.016353237571140055,0,0.8000000000000003,0.8
7,0.5840930349091084,0.008962543132723804,0.704026329264765,0.006706649626684862,0.47155532086553614,0.013003777949085409,0,0.9000000000000001,0.9
8,0.5934870728692687,0.008934838976977071,0.6979797681940063,0.007259158289388947,0.4957698960483548,0.010684157965071819,0,1.0000000000000002,1.0
9,0.6077153031701503,0.008328800904930688,0.6914800002466227,0.006836338088214407,0.5530290143330686,0.014650417875297172,0,1.1000000000000003,1.1
10,0.6074410189513175,0.006986632286515572,0.6923885324402574,0.006240716786396865,0.5710858562521985,0.014032431591816205,0,1.2000000000000004,1.2
11,0.6261672972978012,0.005562146569838784,0.6818235185114104,0.005744865351396869,0.6010668184674484,0.0073910609532008755,0,1.3000000000000003,1.3
12,0.6253255471884622,0.00874759665404366,0.6853367621560527,0.008749319259816634,0.6255798693819827,0.011159429909187071,0,1.4000000000000004,1.4
13,0.635713332764364,0.005934304338762674,0.679053533906606,0.006270747488278037,0.6411809142530701,0.008022746074878693,0,1.5000000000000004,1.5
14,0.6437831369423553,0.00809022919571805,0.6747374773373239,0.0071406061531246595,0.6734844599241266,0.007685664576826516,0,1.6000000000000003,1.6
15,0.6449088273980667,0.0073501945440391965,0.676787064837999,0.008385726980099534,0.6865032497194891,0.007727639276748867,0,1.7000000000000004,1.7
16,0.6526925869896788,0.006177989193258405,0.6715829806575508,0.006489433816651446,0.6980406678292076,0.010510145867655238,0,1.8000000000000005,1.8
17,0.6513865801418508,0.01860423754351165,0.6726980254622364,0.0073104576860313335,0.7209408136986097,0.014833328228613857,0,1.9000000000000006,1.9
18,0.6552019043029514,0.006106733645745,0.6706353845608178,0.006789275596069356,0.7303308234115694,0.005647763979386592,0,2.000000000000001,2.0
19,0.6610649933534551,0.008418303649243997,0.6694263641928264,0.00679078573971869,0.7446394213697757,0.005426489687404611,0,2.1000000000000005,2.1
20,0.6592415504533029,0.00763387657585135,0.6682259906490111,0.00541040528410385,0.7548674487347851,0.005610648929000565,0,2.200000000000001,2.2
21,0.6727033309341115,0.006559519828632956,0.6644190630633792,0.005275989002202731,0.7622768662501896,0.006468815242706423,0,2.3000000000000007,2.3
22,0.6708565124990665,0.00787666798207578,0.6681713406948594,0.006271478157589333,0.771629283318998,0.0060400752569649534,0,2.400000000000001,2.4
23,0.667439391373382,0.006493535070900667,0.6615017572456252,0.0045390053139378606,0.7793897183421077,0.00606020491553849,0,2.500000000000001,2.5
24,0.6701679990959255,0.006172994333841971,0.6613920504282869,0.0094960088696338,0.7889029003643304,0.004850954125366951,0,2.600000000000001,2.6
25,0.6725260256602649,0.009514353915823516,0.6639502972799233,0.00494788911480069,0.7954817372378374,0.00522862900590082,0,2.700000000000001,2.7
26,0.676207325457009,0.008980093590301446,0.6622199137907199,0.0045754703621527434,0.8044398156664712,0.005872779922470268,0,2.800000000000001,2.8
27,0.6773825224540955,0.007527624094447131,0.6637395822104392,0.005469268940310834,0.8073824249302479,0.004979896921220179,0,2.9000000000000012,2.9
28,0.679224882525987,0.010555522575689487,0.6617771471330504,0.004378512092424415,0.8165516683467846,0.006487359675807465,0,3.000000000000001,3.0
29,0.6842467647593135,0.007669893544775788,0.6584723031319394,0.006108845522958202,0.8203254877031281,0.004050238962122154,0,3.100000000000001,3.1
30,0.21826954013224012,0.020292231765038367,0.8811071738202515,0.009454290006471949,0.021265207395210692,0.06979545648419617,1,0.2,0.2
31,0.32250534371637046,0.013582428071220105,0.8292642929792947,0.007666399860294015,0.06422477034585432,0.023210504191345627,1,0.30000000000000004,0.3
32,0.3857833050689867,0.011444673079692394,0.7937491038796544,0.006222226771831315,0.11741858872117346,0.022562431999375653,1,0.4000000000000001,0.4
33,0.45559905927072025,0.017955392201872453,0.7640377962806387,0.008676986951118048,0.20564853716270673,0.03797859137546614,1,0.5000000000000001,0.5
34,0.5057250314229795,0.017646583694187975,0.7403495408717901,0.010942662138569861,0.2945697079147491,0.029045425575004846,1,0.6000000000000001,0.6
35,0.5341771768046912,0.011728540049621638,0.7249807213484941,0.007052304616436371,0.3554697017025241,0.015482619224897694,1,0.7000000000000002,0.7
36,0.5608454908324327,0.0077924647945421125,0.7139375598373243,0.00652006942770593,0.42022134013820317,0.011361129743490832,1,0.8000000000000003,0.8
37,0.571996622587833,0.01409518073544596,0.7065487711300751,0.007984585120477602,0.45218871300555463,0.01199629960796493,1,0.9000000000000001,0.9
38,0.5863048024194568,0.011088519074232518,0.7033841401971783,0.007300772021943235,0.49697057219659996,0.02107524416347023,1,1.0000000000000002,1.0
39,0.5994522477077792,0.010527232214680401,0.6949958141921304,0.005884100539634032,0.5372559408801706,0.010017915152918066,1,1.1000000000000003,1.1
40,0.6113854916153527,0.008024705264897724,0.6924829588039967,0.008258703469132014,0.5738086994859608,0.012373006876625398,1,1.2000000000000004,1.2
41,0.6237038829904109,0.010114582748895273,0.6845410829728588,0.005979065691491409,0.5987112275436549,0.014269712544960709,1,1.3000000000000003,1.3
42,0.625580946275129,0.008693552787599998,0.6845061919373552,0.006818144905450794,0.6218469931972667,0.008734611112967576,1,1.4000000000000004,1.4
43,0.6395899581454981,0.011064844998295475,0.6787391613461442,0.008093777650860575,0.6560404437527724,0.019782389913392578,1,1.5000000000000004,1.5
44,0.6388354468400409,0.008240872713175819,0.6760551886955851,0.004500109807580245,0.6680632432834329,0.008574286911152374,1,1.6000000000000003,1.6
45,0.6462713072839544,0.012809077013495191,0.6713142470012138,0.007723724135833583,0.691002896725005,0.010072706516375698,1,1.7000000000000004,1.7
46,0.6531783285213668,0.0066004206636118236,0.6715809459709692,0.004975993179254451,0.7047558848175409,0.007625464200823711,1,1.8000000000000005,1.8
47,0.6438470309200127,0.006716397590516511,0.6722065442697833,0.006366138469932891,0.710993682258568,0.006507562689280888,1,1.9000000000000006,1.9
48,0.6531726109219805,0.007950369420579995,0.6700408077771955,0.00933658547599339,0.7226242958450747,0.007034359779357618,1,2.000000000000001,2.0
49,0.6636975548081814,0.007766095451514717,0.6701872553088287,0.0053382110166014995,0.7335823205633837,0.007054687555216463,1,2.1000000000000005,2.1
50,0.6678948270907208,0.012802090664803104,0.6647929693842679,0.005490693944479412,0.7557303467067737,0.0073647965093471225,1,2.200000000000001,2.2
51,0.6704866995372089,0.0056512333743415945,0.6673607814757134,0.005309968830869444,0.7586290875221327,0.00558504240028004,1,2.3000000000000007,2.3
52,0.6583826530670982,0.006204367797139509,0.6636940575660158,0.007041576442473465,0.7676823183286405,0.004021297123720215,1,2.400000000000001,2.4
53,0.6777120855678043,0.008992969201607822,0.6628872146967559,0.004695104590685088,0.7822669058041326,0.007213287781121638,1,2.500000000000001,2.5
54,0.6740259308122541,0.005331200993388692,0.6628682879988602,0.0074570800820067335,0.7914265421171155,0.003981709191853217,1,2.600000000000001,2.6
