,l,ls,epi,smt,para,i
74,0.4172908911121449,0.0003690018014621742,3,3,3,13
75,0.4139373692793968,0.00023395311140971518,3,4,4,14
76,0.4161786822287129,0.00031528769022362997,3,5,5,15
77,0.40995834224902095,0.0002538015930868497,3,6,6,16
78,0.4097865469175696,0.00015827669044155156,3,7,7,17
79,0.4175058056901205,0.00017509936518343903,3,8,8,18
80,0.4046335550133329,0.00014562086686262701,3,9,9,19
81,0.4365181097309431,9.589792351900084e-05,3,10,1,21
82,0.4203548539371217,0.0003175980697419447,3,11,2,22
83,0.4102006921702901,0.00019897822325110013,3,12,3,23
84,0.4098141435738847,0.0002317256027717728,3,13,4,24
85,0.40569337113349535,0.0002469631712190254,3,14,5,25
86,0.4006868270882966,8.563533032006934e-05,3,15,6,26
87,0.4055908861566933,9.721358643396778e-05,3,16,7,27
88,0.40911437248131416,0.00026572928490725293,3,17,8,28
89,0.4368243015207021,0.0002474414372272914,3,18,1,31
90,0.4074665022429616,0.00012339215615729144,3,19,2,32
91,0.4112882373012122,0.00029609993884160984,3,20,3,33
92,0.4046589323906912,0.00029509720614524754,3,21,4,34
93,0.4006580254616035,0.00012519232307162424,3,22,5,35
94,0.4036912568061321,0.00034411848797166343,3,23,6,36
95,0.4002513915699583,0.0003973389557242875,3,24,7,37
96,0.4454437709032287,0.00017519834872506708,4,1,1,11
97,0.4230577763688842,0.00022882305353408443,4,2,2,12
98,0.4192428705075524,0.0002740125366175197,4,3,3,13
99,0.41018185393196094,0.00027730806418652066,4,4,4,14
100,0.41218595392230417,0.0004397947751526308,4,5,5,15
101,0.4178142200828295,0.00014474693223465797,4,6,6,16
102,0.4069000690765124,0.0002322968057837711,4,7,7,17
103,0.3993908398384772,0.00025376744932620565,4,8,8,18
104,0.4035057688190567,0.0003997257439540373,4,9,9,19
105,0.4325022452344945,0.00011871171150677641,4,10,1,21
106,0.42543230303741497,0.00032850491207322134,4,11,2,22
107,0.3995082151860365,0.0002099995000675055,4,12,3,23
108,0.4049139289656215,0.0005256603718010772,4,13,4,24
109,0.41342027295924616,0.0003228757709276037,4,14,5,25
110,0.4060851986140453,0.0004863616492094275,4,15,6,26
111,0.4137242990617943,0.0003060532391905495,4,16,7,27
112,0.40476992885791263,0.00012568102202781451,4,17,8,28
113,0.4342415887321525,0.00010015607533855024,4,18,1,31
114,0.4270715159676824,0.00035375563297355094,4,19,2,32
115,0.4110866735768415,0.0001503119498487266,4,20,3,33
116,0.4132319099613631,0.00016226556607102518,4,21,4,34
117,0.4058430943572188,0.00010184649450781221,4,22,5,35
118,0.3936670606925004,0.00012117736831487595,4,23,6,36
119,0.4020510467523093,0.0001799420533158249,4,24,7,37
120,0.4459417175829071,0.0002538548098443025,5,1,1,11
121,0.4277221121535028,0.0003518977661966221,5,2,2,12
122,0.4169842235292689,0.0002785318495466194,5,3,3,13
123,0.4139480038998669,0.0002609123058346554,5,4,4,14
124,0.41865013945481305,0.00032871582855693914,5,5,5,15
125,0.4168405962002801,0.00029275413038104726,5,6,6,16
126,0.4207882560123449,0.00018717438067872142,5,7,7,17
127,0.4129617613261366,0.00024182556800075763,5,8,8,18
128,0.4123077427003393,0.00022883912640737407,5,9,9,19
129,0.438127875765818,0.00026893810389117564,5,10,1,21
130,0.4157706611848122,0.00019014267036797443,5,11,2,22
131,0.4097742231761371,0.0002099902445094505,5,12,3,23
132,0.403545768072991,0.0001285145405194577,5,13,4,24
133,0.3964754588220322,0.0003201649386667781,5,14,5,25
134,0.4060311313759029,0.00023125089302116665,5,15,6,26
135,0.4096371510562549,0.00022717818394577045,5,16,7,27
136,0.3951998044665628,0.00015737521649370083,5,17,8,28
137,0.4376645215500505,8.379446614447495e-05,5,18,1,31
138,0.4153024152438388,0.0002303709264729917,5,19,2,32
139,0.40765553546398536,9.220831971645148e-05,5,20,3,33
140,0.40839380787290425,0.00011754608378468378,5,21,4,34
141,0.4078931160850431,0.0002408701826137165,5,22,5,35
142,0.3953698213870023,0.0002138081087627444,5,23,6,36
