,n,l,i,epi,smt,para
0,0.6445027534846788,0.6747847601808389,0.4650622405341102,0,1,1
1,0.6972940338168917,0.6512825250482485,0.573327885358641,0,2,2
2,0.7038086799687413,0.6483242314570835,0.5840954704422197,0,3,3
3,0.704380899279752,0.6480586817198932,0.5848330623350904,0,4,4
4,0.7044350607001318,0.6480326506045241,0.5848884989796617,0,5,5
5,0.70443866620327,0.648030849133453,0.5848914926087921,0,6,6
6,0.70443866620327,0.648030849133453,0.5848914926087921,0,7,7
7,0.70443866620327,0.648030849133453,0.5848914926087921,0,8,8
