,n,ns,l,ls,i,is,epi,smt,para
0,0.6409021732821117,0.00015907984054243422,0.6742452321295962,3.4515641236896214e-05,0.4628182957229224,0.0003698216451254355,0,1,1
1,0.7001097313468383,0.00014168288880376097,0.6496677587149563,3.916546703560895e-05,0.5719513341835143,0.00030501488731209646,0,2,2
2,0.6430994199666495,0.00014435991999135625,0.6763096769123279,2.707770106139425e-05,0.46647467569439266,0.00041578984787902726,1,1,1
3,0.6988587022151339,0.00010834640465602776,0.6500626151601266,3.1106876353363856e-05,0.5728315625482815,0.0002383486355184673,1,2,2
4,0.6397411662357929,0.00022707924215256727,0.6777972732701223,5.745364800434335e-05,0.4566650871181374,0.000473714051135493,2,1,1
5,0.6897530845243668,0.00011812923498342522,0.653835398981483,3.6322434733911354e-05,0.5750464685551465,0.00025136577056195986,2,2,2
6,0.6514327328619492,0.00016052082358553773,0.6717482712416063,3.181109352730583e-05,0.4708515418353907,0.001047834977607597,3,1,1
7,0.6975900272066263,0.0001455253593303378,0.6479851095213925,7.19559512096513e-05,0.5720228473706995,0.00019981006148954742,3,2,2
8,0.6412632269403189,0.00019285195275881828,0.6768573095372638,2.5391572014138504e-05,0.4646864868797097,0.00044144945379284456,4,1,1
9,0.6983719014009563,7.870157088693045e-05,0.6500739790272523,3.544650613762115e-05,0.5755340558696806,0.00033935680640930237,4,2,2
10,0.6398695311945177,0.00023789324978447124,0.6781265336263645,2.481622936098067e-05,0.45661214538327477,0.0006827334662355893,5,1,1
11,0.6930447445527386,0.00035196032137800517,0.6532145575219361,2.8557773127333103e-05,0.5712814737298794,0.0004245584404143612,5,2,2
12,0.648447245149695,0.00021020352856075143,0.6730196236596877,3.6034068838679095e-05,0.4706720182271354,0.0007661834038880803,6,1,1
13,0.6962717968250991,0.00013280236855004265,0.6493669554555468,5.2722222412318605e-05,0.5674647235214321,0.00019634398830671126,6,2,2
14,0.6454998943301251,0.000428540010533318,0.6741499460333734,2.0387066819316962e-05,0.4629473735037708,0.0004275364552389641,7,1,1
15,0.6969744594476083,0.00013789951270553775,0.6502360594159189,6.229668696773987e-05,0.575369938822114,0.0001933674659995457,7,2,2
16,0.6401568168986732,0.0002384475241620432,0.6756844489443897,2.5672749782861907e-05,0.46233475117447015,0.0003467558850693762,8,1,1
17,0.6934605640917116,0.00012696500174467926,0.6516042023168268,2.7831190801120632e-05,0.5757280781561042,0.00019751352083883107,8,2,2
18,0.6438547502469776,0.00024336629954006892,0.6741204246441017,2.4498358920612705e-05,0.461825009577992,0.0008539430578020058,9,1,1
19,0.6995972745520905,0.0003312743185755464,0.651724198787873,2.5739852395053225e-05,0.5748968516493334,0.00019758697294782092,9,2,2
20,0.6452362659157209,9.415221554328936e-05,0.6746195886974145,1.7108388540744974e-05,0.4639252754390778,0.00013752963723641606,10,1,1
21,0.6967370641945511,9.085116205413952e-05,0.6516432264247958,3.210475907085239e-05,0.5744227901440645,0.0003287547048337871,10,2,2
22,0.6435599050101153,0.00027766861963888015,0.6742390736633092,9.590265633462192e-05,0.46088871715727825,0.00035212748165022,11,1,1
23,0.6999053430352007,0.00011367625020195573,0.6532136415294304,4.2989312849146896e-05,0.5739166737064946,0.0003580352439824666,11,2,2
