,0,1,2,3
66,"[0.9875038062093646, 1.4081417769389689e-06, 0.4334142262160381, 4.091792545836301e-05, 0.17438001503941705, 0.0001008182260183767]",2,8,16
67,"[0.9873866171185567, 1.786223471504589e-06, 0.4289402548755011, 1.0795542976599559e-05, 0.17573589736078538, 5.2290798379966693e-05]",2,8,17
68,"[0.9874557063144908, 9.807388635432033e-07, 0.4326324368039026, 3.0552673025906986e-05, 0.17289960097190993, 4.2530997521389106e-05]",2,8,18
69,"[0.9875167286467591, 2.276608827232408e-06, 0.432481489363295, 1.1558025562471934e-05, 0.17632401493686728, 8.202777329165577e-05]",2,8,19
70,"[0.9875400813773271, 2.8986598782069575e-06, 0.4374493346518771, 3.9621581589683e-05, 0.17789091513504007, 6.156225490782886e-05]",2,8,20
71,"[0.9874764393718779, 8.631704145718023e-07, 0.43011634891657285, 1.2924672218413287e-05, 0.17753149168610205, 4.217258120584724e-05]",2,8,21
72,"[0.9865094572102537, 2.627437010294308e-06, 0.4286943053976808, 3.071188872380702e-05, 0.17537208764271725, 4.8177572499276965e-05]",2,8,22
73,"[0.9875332868381262, 3.1050551365703035e-06, 0.43930094772612494, 2.4245078463447425e-05, 0.17659217655783646, 0.00018353715205599692]",2,8,23
74,"[0.9873312040596683, 1.4145997766733152e-06, 0.42816634282198834, 2.4393681908725448e-05, 0.16969423458919644, 4.092684728083818e-05]",2,8,24
75,"[0.9874636037468562, 2.869026524830232e-06, 0.429759943447898, 4.151045293168149e-05, 0.17400256881544635, 0.00016052552504603653]",2,8,25
76,"[0.38383403218546014, 2.2524079958299235e-05, 0.49610268307596134, 2.1807874287277953e-05, 0.7711714837914496, 0.0]",2,8,26
77,"[0.9873961968512899, 2.1335741954048295e-06, 0.42884142497924177, 5.199282962688722e-05, 0.17473313021948578, 5.9814003745928616e-05]",2,8,27
78,"[0.9874256378105759, 1.129022240150853e-06, 0.4311951004232799, 1.4333793686861208e-05, 0.1739806611862362, 5.6347883165781685e-05]",2,8,28
79,"[0.9875154297575441, 3.1727918689657993e-06, 0.4361994503676399, 1.647908798676532e-05, 0.17709332923211293, 0.00010327167634649741]",2,8,29
80,"[0.987439531043548, 1.9133174969304813e-06, 0.4352375816626183, 1.880963458702354e-05, 0.1754029885673483, 7.973370507817537e-05]",2,8,30
81,"[0.987485887275044, 1.5165269778053665e-06, 0.4350952295487183, 4.3336403192208055e-05, 0.17528482860785635, 7.288434893332653e-05]",2,8,31
82,"[0.9874388089287848, 5.833028502421497e-06, 0.4310412242780206, 9.406975462754232e-05, 0.17763483527742993, 0.00014202830667912406]",2,8,32
83,"[0.3689005121313846, 0.000165134271754992, 0.49902212190138046, 1.981867544546775e-05, 1.0, 0.0]",2,8,33
84,"[0.9874966183371592, 1.470889802311221e-06, 0.43421718065717185, 1.781276367569698e-05, 0.17789158249706327, 3.1677054728140167e-05]",2,8,34
85,"[0.37315781903129447, 0.00018273151999544747, 0.5016705932153467, 3.234305825096564e-05, 0.8109059200001777, 4.440892098500626e-16]",2,8,35
86,"[0.3914338472719038, 0.0001191781600191088, 0.49700001791516285, 2.6867189916505823e-05, 0.5343469620743726, 1.1102230246251565e-16]",2,8,36
87,"[0.37075854915117773, 0.00014103384907221061, 0.5009373089392939, 2.9742710055814843e-05, 0.90534815503811, 2.220446049250313e-16]",2,8,37
88,"[0.9874594474141111, 1.7931239566148152e-06, 0.42817698340528565, 2.1208333674369166e-05, 0.1723761335451223, 3.408748225944335e-05]",2,8,38
89,"[0.37901652716772344, 0.00011289774347703772, 0.4979106959961659, 2.0235175377599333e-05, 0.9922675626590505, 1.1102230246251565e-16]",2,8,39
90,"[0.9873535304738601, 6.93947420575232e-07, 0.4386505807128276, 1.043960417534883e-05, 0.1778536081834108, 5.060200699042454e-05]",2,8,40
91,"[0.9876239131633742, 1.1468458010551236e-06, 0.43585999117450386, 1.4406450073023806e-05, 0.1778675978421757, 9.832857745403951e-05]",2,8,41
92,"[0.9874318469376689, 1.4506369409797142e-06, 0.43160265813914955, 1.2737254554201699e-05, 0.17792220197169883, 6.237941608151243e-05]",2,8,42
93,"[0.9874755611254764, 4.883533173657492e-06, 0.4322375613781225, 4.925721322894757e-05, 0.17532688383906703, 0.000129496031675541]",2,8,43
94,"[0.9873490688690624, 2.876774900764491e-06, 0.4284891410043173, 1.6678864180896414e-05, 0.17286572470662534, 0.00011667453385668237]",2,8,44
95,"[0.36951730502151503, 0.00010265967915403574, 0.49906813424361157, 8.901980249502263e-06, 1.0, 0.0]",2,8,45
96,"[0.9875198850580871, 1.1531681288505873e-06, 0.43451132403439297, 4.5902805927022426e-05, 0.17708641871257225, 0.00010280453743837435]",2,8,46
97,"[0.9873671372081041, 2.2190833904741294e-06, 0.42977657010024867, 3.6243781985823465e-05, 0.17234123040033672, 0.00012747114385013993]",2,8,47
98,"[0.9875103117067802, 8.251110735613929e-07, 0.4316656828873934, 4.922418283807356e-05, 0.17760020475426747, 6.68418838225206e-05]",2,8,48
99,"[0.9874579496725553, 1.1924411566784942e-06, 0.43158774861042515, 4.413622575114687e-05, 0.1745749863699354, 6.895426567151778e-05]",2,8,49
100,"[0.9850190207473262, 1.2519525865967368e-06, 0.43555265129199516, 3.308375580376773e-05, 0.14358645064433664, 0.00010890544751705075]",3,7,0
101,"[0.9848041367877585, 1.3007450803399064e-06, 0.4341848375260548, 7.571984407516793e-05, 0.1393681898686472, 4.966014464041111e-05]",3,7,1
102,"[0.9848754332598464, 1.1036146909076776e-06, 0.43361931048337016, 2.4286116516974374e-05, 0.14102910563696408, 9.514137429253919e-05]",3,7,2
103,"[0.9846436595526536, 5.025232657617574e-06, 0.4260125486482231, 3.226888801559943e-05, 0.13643333454573636, 0.00010331327139639614]",3,7,3
104,"[0.9849554334478505, 1.979425345143704e-06, 0.4339937543122726, 9.475829165623262e-06, 0.14247102468041348, 3.816842556755663e-05]",3,7,4
105,"[0.9847181933724876, 1.9067827157968087e-06, 0.4315913597785341, 4.780251466662446e-05, 0.13584334282135033, 8.637857166408387e-05]",3,7,5
106,"[0.9846748348852775, 4.510033203154165e-06, 0.4257366436900152, 1.3061949758468126e-05, 0.137974258758107, 7.953181990747988e-05]",3,7,6
107,"[0.9848527157204645, 3.285621290824377e-06, 0.4332723511853161, 2.8478484799128306e-05, 0.1436646705110488, 0.000111900452106387]",3,7,7
108,"[0.9847953274445245, 2.4015748495644896e-06, 0.4336420822993359, 1.9938159016915454e-05, 0.14130815571242533, 7.344386975156526e-05]",3,7,8
109,"[0.9847644085079389, 3.122781812800148e-06, 0.4320469330936608, 1.8964256952771167e-05, 0.14171945747366368, 3.725375910758537e-05]",3,7,9
110,"[0.9846884944775632, 3.877218743956945e-06, 0.4330834692313725, 2.642675400623505e-05, 0.13428354274213375, 7.458294130595224e-05]",3,7,10
111,"[0.9848296598937296, 2.6005386491915254e-06, 0.43099460997196054, 1.5002022775944848e-05, 0.14252881037108825, 6.912176686845272e-05]",3,7,11
112,"[0.9845348205127534, 2.7803973168402153e-06, 0.4269480363113242, 2.950199650992202e-05, 0.13482876655296008, 3.908793649042077e-05]",3,7,12
113,"[0.9846186855141669, 1.4286154334862473e-06, 0.42875243919029843, 2.218785864648403e-05, 0.14091461046489184, 0.00011365168255575691]",3,7,13
114,"[0.9847934945893453, 1.9459379852953683e-06, 0.43236025320317106, 4.19733597640404e-05, 0.14047040393597524, 5.214819809888801e-05]",3,7,14
115,"[0.9848550570825201, 1.470968814849146e-06, 0.43649677923321806, 1.4128496499792964e-05, 0.1440983854611597, 3.954629333877509e-05]",3,7,15
116,"[0.9850440934304976, 2.1452311236412143e-06, 0.4385928721906743, 5.0358968301017826e-05, 0.14354292048354336, 4.3817775110386375e-05]",3,7,16
117,"[0.9847125012772165, 2.0478570563848384e-06, 0.4291056676752736, 5.1087438562766446e-05, 0.13849466480668393, 0.00012242048788552488]",3,7,17
118,"[0.9847964098504374, 2.3264260172822954e-06, 0.426873983137084, 2.121945060578963e-05, 0.13963059874581285, 5.181845448448632e-05]",3,7,18
119,"[0.9847159301174122, 1.3617127496266299e-06, 0.43091129328154854, 2.1389330898422193e-05, 0.13796726200772041, 3.458241966498799e-05]",3,7,19
120,"[0.9850322231595598, 2.187310058690775e-06, 0.43626319958517695, 2.14956248869247e-05, 0.14619072940905523, 6.787270275567537e-05]",3,7,20
121,"[0.9846874583998501, 1.0648989700865012e-06, 0.4276459414397672, 2.0416311445835778e-05, 0.14094880945245686, 3.638347765810985e-05]",3,7,21
