,l,ls,epi,smt,para
0,0.12686250908812288,0.0014132947760283703,0,1,1
1,0.12056664343915649,0.0003557595372150423,0,1,2
2,0.11993296093502054,0.0011423159528328867,0,1,3
3,0.11488343961499878,0.0009388984294764397,0,1,4
4,0.11736491809610734,0.0005689215795884823,0,1,5
5,0.1133931158513239,0.0003080757501716998,0,1,6
6,0.13483576366153024,0.0004744379022083796,0,1,7
7,0.13289830327641639,0.0006410769068266758,0,1,8
8,0.13574098492095327,0.0011117595577089495,0,1,9
9,0.12686118831088722,0.0007626857299759385,0,2,1
10,0.1319089416357292,0.0008403268307782642,0,2,2
11,0.11927068765333453,0.0006001649080042506,0,2,3
12,0.1362867728110999,0.0006165486456898365,0,2,4
13,0.11606937933898921,0.0007505095054528408,0,2,5
14,0.11896319515110887,0.001440926916145538,0,2,6
15,0.12260374366935425,0.0009114329243679644,0,2,7
16,0.12496819847285255,0.000499480403948272,0,2,8
17,0.12533632032209147,0.0003884914078963993,0,3,1
18,0.12116725755824277,0.00042396195872198395,0,3,2
19,0.10906381896306087,0.0007506757405496287,0,3,3
20,0.11610768419053197,0.0004453055443475213,0,3,4
21,0.11634142810486053,0.00042449228273136263,0,3,5
22,0.12891752710261375,0.0004450515460201286,0,3,6
23,0.11552449921731912,0.0004085338630938483,0,3,7
24,0.13065698314180565,0.0007435477910390007,1,1,1
25,0.12347082758963066,0.0005786174840148513,1,1,2
26,0.1305132449840098,0.0002856642378381516,1,1,3
27,0.12710317035628257,0.00048250162871163834,1,1,4
28,0.11789828079033624,0.0003977619570737736,1,1,5
29,0.1196186243308511,0.0005006723963342863,1,1,6
30,0.12445760467037621,0.00038020430188054214,1,1,7
31,0.12148745001394329,0.0009597994463997283,1,1,8
32,0.12662533564980946,0.0004230960566251549,1,1,9
33,0.13995287832407616,0.0005327087754514794,1,2,1
34,0.11725890116094177,0.00033502654651696286,1,2,2
35,0.11718126261700433,0.00033303935060248816,1,2,3
36,0.12170273764592292,0.0006921013742026834,1,2,4
37,0.11539376936001534,0.00037076873074087785,1,2,5
38,0.12137048014957608,0.00031552185317972563,1,2,6
39,0.12492998300150701,0.0006553033345667194,1,2,7
40,0.11755515735269093,0.0005444460334583525,1,2,8
41,0.13433351516781555,0.0005453026194561887,1,3,1
42,0.12313428213855251,0.00042112803652962107,1,3,2
43,0.11751538022539916,0.0008720127759424138,1,3,3
44,0.11506616257347471,0.00036031712758787746,1,3,4
45,0.1268022401668574,0.000604207612991909,1,3,5
46,0.12203847962859231,0.00040065443373972774,1,3,6
47,0.11502126607098007,0.0008565371807711571,1,3,7
48,0.14730178789553955,0.0008541020731731649,2,1,1
49,0.13311455488045124,0.0007410393204406622,2,1,2
50,0.11466118759722277,0.0010935044851029254,2,1,3
51,0.12233150844905771,0.0007356384916190851,2,1,4
52,0.12171563985581207,0.0005533929754256475,2,1,5
53,0.12475551984535926,0.0003804852018922011,2,1,6
54,0.11046115346375789,0.0004512735610823134,2,1,7
55,0.12228652955198177,0.000776243564212667,2,1,8
56,0.1271466119919362,0.0011887681809838692,2,1,9
57,0.14208088904531568,0.000493304739353616,2,2,1
58,0.12470829153647864,0.000475792259304147,2,2,2
59,0.12798217589453156,0.0009183262327065924,2,2,3
60,0.12268300245588201,0.0006634362832889412,2,2,4
61,0.12242029620182375,0.0007402507719722642,2,2,5
62,0.10839639661935029,0.0006415270664398594,2,2,6
63,0.10911703094920516,0.0005156570454665189,2,2,7
64,0.11344503541447781,0.0004645814578287251,2,2,8
65,0.14253229858954775,0.0007502406229484849,2,3,1
66,0.11804043591550667,0.0005659829193778961,2,3,2
67,0.11912606705170742,0.00037598288038902906,2,3,3
68,0.11635915928366786,0.0003330769902794318,2,3,4
69,0.11879165501105177,0.000536015008192385,2,3,5
70,0.12337235204116584,0.0008591838954641952,2,3,6
71,0.11689993019558778,0.0005593305171467054,2,3,7
72,0.12449420601063918,0.0014377116177231647,3,1,1
73,0.13384289585132184,0.0005397387943446897,3,1,2
74,0.12200536569264668,0.0013151966520233958,3,1,3
75,0.12765154012854094,0.00037300802973879967,3,1,4
76,0.12719862797205495,0.0005076331308979709,3,1,5
77,0.13059850358638853,0.000549510993401617,3,1,6
78,0.11592773299886869,0.0004423672888478475,3,1,7
79,0.1278399777740604,0.0005789483838782902,3,1,8
80,0.12101905622582507,0.0005210554347784694,3,1,9
81,0.13199171962827236,0.0006106584372926143,3,2,1
82,0.1266028092185002,0.0006158672062858167,3,2,2
83,0.12830010851675455,0.00038031243518735404,3,2,3
84,0.12802647691864036,0.0008430316758514254,3,2,4
85,0.11027866869002324,0.0002037100025697981,3,2,5
86,0.12602269586728274,0.0010956269729860148,3,2,6
87,0.12287754673736288,0.0003585021066794077,3,2,7
88,0.12026086618195803,0.0005083395152388297,3,2,8
89,0.14442482289695327,0.0008589069578199872,3,3,1
90,0.12782562742472062,0.0006402783505171755,3,3,2
91,0.12415392488343982,0.0007340947233162287,3,3,3
92,0.12571611971133917,0.0006509125619572566,3,3,4
93,0.13015562378477888,0.0006400333371521666,3,3,5
94,0.11234734424888437,0.00041424781920220685,3,3,6
95,0.10930624687457462,0.000625612054578132,3,3,7
96,0.13351049760511804,0.00112618333396504,4,1,1
97,0.13099932309327264,0.00039163658089441704,4,1,2
98,0.12221525465984054,0.0006898336295394678,4,1,3
99,0.12074647578949022,0.0004178953830477036,4,1,4
100,0.13152625576931842,0.0008550709512751361,4,1,5
101,0.12635826024483518,0.0007601264904800516,4,1,6
102,0.1201748244659387,0.0015235721441623357,4,1,7
103,0.12368235744768727,0.0006644279215777975,4,1,8
104,0.12128641817968376,0.0005226640328004554,4,1,9
105,0.1337089967112443,0.0006504036889193091,4,2,1
106,0.12148061823160615,0.0004287878901492161,4,2,2
107,0.12213409923754079,0.0004281525115291877,4,2,3
108,0.1337179874143354,0.0007039318449807335,4,2,4
109,0.11253024519731857,0.0009678539027500484,4,2,5
110,0.12220814689013668,0.0003805636954416544,4,2,6
111,0.11816606923314882,0.00023608928631911708,4,2,7
112,0.13170448201205256,0.0004473532432281788,4,2,8
113,0.13062278795427298,0.00034416923657172333,4,3,1
114,0.1352085603817946,0.0004691356575922256,4,3,2
115,0.114997766205893,0.0012604870801593453,4,3,3
116,0.1069083573185463,0.00032383084157134613,4,3,4
117,0.11460582823675974,0.0004567990963193748,4,3,5
118,0.13236627828075634,0.0011369131564885288,4,3,6
119,0.11924026698327413,0.0007422499431520486,4,3,7
120,0.1379663375299835,0.001107378443129917,5,1,1
121,0.1395489049858587,0.0006231422823377936,5,1,2
122,0.12798579419512976,0.0005798852968141205,5,1,3
123,0.11840744991481893,0.0002657128911137243,5,1,4
124,0.12583490241389006,0.0005578230427071,5,1,5
125,0.129382465631304,0.0006320452490900478,5,1,6
126,0.11981319459665199,0.0005146626167380909,5,1,7
127,0.11670855111377842,0.0008739625232456858,5,1,8
128,0.12107737297914081,0.0007302582144429566,5,1,9
129,0.1253358593124597,0.0005959520364295385,5,2,1
130,0.12300888067418733,0.0007924612511897435,5,2,2
131,0.12676050458391946,0.0005719817607265462,5,2,3
132,0.1218940624469451,0.0005000099807698157,5,2,4
133,0.12219420070960046,0.0005519633466087088,5,2,5
134,0.1283161505712282,0.000601609780160813,5,2,6
135,0.1094435577547101,0.000533651408948965,5,2,7
136,0.12339252095121513,0.00041994760641678126,5,2,8
137,0.134964830758779,0.00045611729414491754,5,3,1
138,0.1269135430366036,0.0005772993303589085,5,3,2
139,0.12253118705442215,0.000394759646598144,5,3,3
140,0.124981915918914,0.0005356056695685015,5,3,4
141,0.12079152487342126,0.00036615740663257655,5,3,5
142,0.11793074824677119,0.00040616417321777805,5,3,6
143,0.10982069951612894,0.0005396254977241472,5,3,7
144,0.131549208754873,0.0004169127527202665,6,1,1
145,0.128368753255746,0.0004223501725483169,6,1,2
146,0.1253918977257329,0.00024906646774294614,6,1,3
147,0.1267556745878921,0.0009060181429321563,6,1,4
148,0.12460441756802498,0.0004049891178472292,6,1,5
149,0.12034566133225698,0.0004643961289935408,6,1,6
150,0.10875688363418064,0.0005524013627907245,6,1,7
151,0.11155718987967671,0.0003983179491485022,6,1,8
152,0.12017741106893252,0.0008557762085862608,6,1,9
153,0.12969469636784448,0.0006641574087062426,6,2,1
154,0.1261108384203631,0.0011116292599365704,6,2,2
155,0.117726578779508,0.0008915284850192191,6,2,3
156,0.12437531458484484,0.0003019698034923848,6,2,4
157,0.11279096785149167,0.0006164375918337552,6,2,5
158,0.12305191770247544,0.0008886494203706314,6,2,6
159,0.12003515095021496,0.0004476130392981907,6,2,7
160,0.12587465084468882,0.0002921694281362967,6,2,8
161,0.1353502989289615,0.0009223692293102367,6,3,1
162,0.11709292059778688,0.00027725633584946025,6,3,2
163,0.11949269676860994,0.0005399243012207328,6,3,3
164,0.118544987785558,0.0004836245860765839,6,3,4
165,0.12561364975903902,0.0007546732289185935,6,3,5
166,0.11919253616443602,0.0006288121936431741,6,3,6
167,0.11260763496387109,0.00057955059160199,6,3,7
168,0.13475911577978286,0.0006407341440996814,7,1,1
169,0.12130195889912866,0.0005469779076334636,7,1,2
170,0.12267338187478553,0.0005970250794512325,7,1,3
171,0.11350568104772592,0.00044508479421202904,7,1,4
172,0.11355330756176862,0.0004809756391072227,7,1,5
173,0.12285736001120276,0.0003585595627707435,7,1,6
174,0.1194155377581624,0.0003893812230703824,7,1,7
175,0.11815015220812686,0.0007828746106559651,7,1,8
176,0.12058943687380855,0.0005092984529585468,7,1,9
177,0.12666008517628996,0.0005721291499346312,7,2,1
178,0.12739383001016244,0.0005801852977110281,7,2,2
179,0.12529391566128487,0.0003538855478853542,7,2,3
180,0.12479060111033265,0.00035874630297516266,7,2,4
181,0.12833332424502208,0.0004422625723264852,7,2,5
182,0.1202965712013456,0.00035735638787431955,7,2,6
183,0.1194531901170719,0.0005414802960713892,7,2,7
184,0.11726899795790231,0.000606949845676063,7,2,8
185,0.12911141549058255,0.0009522000119774268,7,3,1
186,0.12481488219029295,0.0003369426329918175,7,3,2
187,0.11910134366336642,0.0008195159312773514,7,3,3
188,0.11783991913532497,0.0005408495490769057,7,3,4
189,0.11993451511203644,0.00031148321188246485,7,3,5
190,0.1342940497137987,0.0009385007643297538,7,3,6
191,0.12466831302918381,0.0005738260790829577,7,3,7
192,0.1344483569524726,0.0006873199068077784,8,1,1
193,0.12111063273673883,0.0009404873174768326,8,1,2
194,0.12607232700126064,0.0008676046936974027,8,1,3
195,0.11967106975025987,0.0006013796337880644,8,1,4
196,0.11848916626342439,0.0008496524125926251,8,1,5
197,0.13052035599244804,0.0009464562692422684,8,1,6
198,0.11438135191112787,0.0007482963909937,8,1,7
199,0.1100579752101424,0.0008861875604134608,8,1,8
200,0.123838811896946,0.00043423513082579843,8,1,9
201,0.1316670547442753,0.001277744647104336,8,2,1
202,0.12278329368097032,0.0011855921363866694,8,2,2
203,0.11447650582951512,0.0006542952867741969,8,2,3
204,0.11391652165959446,0.0006246099311469856,8,2,4
205,0.11709044775485089,0.0008123421820791043,8,2,5
206,0.1337495711715614,0.0006998083487079857,8,2,6
207,0.1198799444807727,0.0007864264669274763,8,2,7
208,0.11210258026144149,0.0005161639503443245,8,2,8
209,0.13547658458800327,0.00040436739254261667,8,3,1
210,0.11524251025808142,0.0006318024608717854,8,3,2
211,0.11676285654250965,0.000467337021703027,8,3,3
212,0.12539352007176602,0.0010643568612995762,8,3,4
213,0.12525335223583797,0.0008966377018818333,8,3,5
214,0.1313677230376924,0.0015203081954524337,8,3,6
215,0.11804362271837261,0.0004915862043766039,8,3,7
216,0.1250753980190112,0.0005242716104988145,9,1,1
217,0.1338040005708731,0.0006165161397816433,9,1,2
218,0.12522132812030706,0.0004420170410042107,9,1,3
219,0.1282146430117363,0.0005267763451686752,9,1,4
220,0.1143334430679713,0.0008833402825158712,9,1,5
221,0.12358380849907584,0.0005189429266167232,9,1,6
222,0.11928968764467732,0.0008157999092447644,9,1,7
223,0.11637766954755994,0.0006618966432987296,9,1,8
224,0.12403032331751296,0.00043759934657162925,9,1,9
225,0.13251820970491526,0.00041561748830925156,9,2,1
226,0.13116814616462757,0.0005444863859228512,9,2,2
227,0.11730862717696433,0.0005920951665767265,9,2,3
228,0.12785502092495096,0.0010418460162115917,9,2,4
229,0.12051046901085519,0.0009651898717982841,9,2,5
230,0.11357471057625462,0.00023833811063158134,9,2,6
231,0.1265611386116982,0.0004269221142917845,9,2,7
232,0.11949033131577122,0.00029677569536505595,9,2,8
233,0.1264890710765821,0.0005360092922570165,9,3,1
234,0.1280578208609733,0.0004892219819208766,9,3,2
235,0.1146841366227258,0.0004546944835279412,9,3,3
236,0.11905360458742752,0.0006994199379916824,9,3,4
237,0.12278912742506642,0.0004628622837662418,9,3,5
238,0.11827512555179487,0.0005096353029170255,9,3,6
239,0.10985453407823094,0.00044627945201812177,9,3,7
240,0.13376369483633418,0.0012401108031036621,10,1,1
241,0.12752830128394427,0.0006800143291371682,10,1,2
242,0.12612122656823008,0.00039273194670197056,10,1,3
243,0.13789754297217902,0.00043138742727777244,10,1,4
244,0.1301594764090566,0.000686679971999329,10,1,5
245,0.12662772349975498,0.00038464916030653225,10,1,6
246,0.1254003096021171,0.0007482964906578737,10,1,7
247,0.12006122247360766,0.0005010776398704995,10,1,8
248,0.1252974485268744,0.0013181201788444992,10,1,9
249,0.12760031266231397,0.0013841724367624432,10,2,1
250,0.12074717109715624,0.0009771025856471832,10,2,2
251,0.12159038865595531,0.0006171208300260292,10,2,3
252,0.13837712843468808,0.0004914490439698628,10,2,4
253,0.1181936981470591,0.0004759855541517891,10,2,5
254,0.11699892199964694,0.00041516433467328793,10,2,6
255,0.11689205207001731,0.0004428060021862911,10,2,7
256,0.11456500535243734,0.000715537043132598,10,2,8
257,0.12978759366415218,0.0008676019950662973,10,3,1
258,0.12863152730200944,0.0006381281582171093,10,3,2
259,0.11739622515658503,0.0013186763904127847,10,3,3
260,0.12091784292992606,0.000765180025096804,10,3,4
261,0.12441446159880488,0.0009188292118671848,10,3,5
262,0.12317978976797443,0.00038856666856755355,10,3,6
263,0.12302837801237373,0.0003994039092177595,10,3,7
264,0.13415622701391203,0.0005239935745625126,11,1,1
265,0.1338614589324621,0.0007032933930198944,11,1,2
266,0.12269131536130785,0.00082340006811969,11,1,3
267,0.11375400498516036,0.0004305788941807112,11,1,4
268,0.11846780218199676,0.0008972993930112243,11,1,5
269,0.12425489228412567,0.000455144424921187,11,1,6
270,0.12050206038800522,0.0005152672661236175,11,1,7
271,0.11241811228391288,0.0007071332983886117,11,1,8
272,0.12270537723902218,0.0004609292065225818,11,1,9
273,0.13029182666027492,0.0008244509336252794,11,2,1
274,0.12257035701819842,0.0002916205677640675,11,2,2
275,0.10985718385044578,0.0003814469358817915,11,2,3
276,0.12631362222385956,0.0007684801993475991,11,2,4
277,0.12094978827471227,0.00038889696475969874,11,2,5
278,0.11691016175933888,0.0009363732849007961,11,2,6
279,0.12459568114906508,0.00037992942204740737,11,2,7
280,0.13059300114234482,0.000496533315928393,11,2,8
281,0.12839525925996004,0.00048045755879559166,11,3,1
282,0.11970232334702162,0.0004639403631538778,11,3,2
283,0.11736379209595259,0.000332724084204253,11,3,3
284,0.11720372652574036,0.0003567827332815497,11,3,4
285,0.11702541788607772,0.001192353766028926,11,3,5
286,0.11483026149870207,0.000501541358995868,11,3,6
287,0.12950291953711712,0.0002567586205014115,11,3,7
288,0.13489937754616915,0.0007830055048350149,12,1,1
289,0.12828349434781028,0.0005825187530954406,12,1,2
290,0.1270061332593088,0.00030479109620439943,12,1,3
291,0.11192193589108962,0.00023193968723473387,12,1,4
292,0.12201063751431004,0.0006076870270623372,12,1,5
293,0.11626172022095602,0.0006472863446886435,12,1,6
294,0.12068794114572352,0.0005120314436844856,12,1,7
295,0.11803391694409437,0.0003461950412353706,12,1,8
296,0.1175680727831774,0.0008737074982434359,12,1,9
297,0.13739887049611746,0.00033121824245733235,12,2,1
298,0.1192884336306611,0.00034088874303056976,12,2,2
299,0.12506278892927727,0.0006322105617215019,12,2,3
300,0.12770996936181234,0.0004911241621993722,12,2,4
301,0.11411384992465766,0.0004904411563135956,12,2,5
302,0.1203404645481604,0.00033330381695032365,12,2,6
303,0.12275312090800616,0.0002930151206643305,12,2,7
304,0.11891690088359966,0.0004898097070029118,12,2,8
305,0.14171237810910242,0.0004665409742615836,12,3,1
306,0.12499439518151176,0.0008770645580343235,12,3,2
307,0.12157790378348912,0.0002985214563780892,12,3,3
308,0.10985025324317076,0.0010392646913002376,12,3,4
309,0.11681400535626923,0.00040611180094722734,12,3,5
310,0.12560028630488126,0.0011372943944824767,12,3,6
311,0.12018818245272034,0.00047496048943938786,12,3,7
312,0.13324336350067442,0.0003467503138930514,13,1,1
313,0.13301665247393726,0.000523284821843583,13,1,2
314,0.12433379643378806,0.0005349945332778801,13,1,3
315,0.1178724534444604,0.0005095140208645702,13,1,4
316,0.1330170407618903,0.001044155233292973,13,1,5
317,0.12444199444962503,0.0005494474211329498,13,1,6
318,0.12406764553955725,0.0005792493840151212,13,1,7
319,0.1176581469869926,0.00041339101208596356,13,1,8
320,0.1144492138138755,0.0007518700010222303,13,1,9
321,0.13815471420231862,0.00027682041432059253,13,2,1
322,0.1201555175558548,0.0008097885611330349,13,2,2
323,0.1238493754636803,0.0005463114707610049,13,2,3
324,0.12451767737194328,0.0008465697450788132,13,2,4
325,0.114540057721196,0.0003523562220384411,13,2,5
326,0.12019643758849613,0.0006984066320181712,13,2,6
327,0.11592698276079315,0.00042285094001602585,13,2,7
328,0.10616782894197675,0.0005381712805493166,13,2,8
329,0.13290778191176794,0.0012007542971557367,13,3,1
330,0.1335969905857553,0.00140477728038961,13,3,2
331,0.11792711425408806,0.0002842811145193313,13,3,3
332,0.12682043952876115,0.00034447427937356025,13,3,4
333,0.12670927350741987,0.00036069799003320016,13,3,5
334,0.12049104962306695,0.001133700003098143,13,3,6
335,0.1158579666571637,0.0003103602795865889,13,3,7
336,0.12401616376930459,0.0006757478716106564,14,1,1
337,0.12587968298436386,0.0012930856508863958,14,1,2
338,0.11972246389034175,0.0005028143406374748,14,1,3
339,0.11901350886909143,0.0007518312162719475,14,1,4
340,0.12666948932501731,0.000614732707607062,14,1,5
341,0.1160665352147829,0.0005221923667148261,14,1,6
342,0.12311481881666277,0.0003919828309746525,14,1,7
343,0.13213966585350362,0.0006436632471892275,14,1,8
344,0.11766586231320575,0.0008970956090838625,14,1,9
345,0.12317923456586977,0.000360201108434609,14,2,1
346,0.12853205914470517,0.0009207262235878359,14,2,2
347,0.12211992314185463,0.0005633037029976973,14,2,3
348,0.12512265109218307,0.0003009163565863725,14,2,4
349,0.11653373706580022,0.0005088764202814338,14,2,5
350,0.11507969018589595,0.00040753149177698343,14,2,6
351,0.12044779214924597,0.0009895165367983527,14,2,7
352,0.12170423086989238,0.0006369509644015627,14,2,8
353,0.12279717578008369,0.0010122036961334973,14,3,1
354,0.11278631436797901,0.000417132704512179,14,3,2
355,0.1286186273860128,0.0004735603648897523,14,3,3
356,0.11807523537512915,0.0006742932479499169,14,3,4
357,0.12833723372867467,0.0006165697987856994,14,3,5
358,0.12344304379589409,0.0003382673401224618,14,3,6
359,0.12375872124075983,0.0004454206149488084,14,3,7
360,0.13053870673220302,0.0006247559056935811,15,1,1
361,0.1019372657499604,0.0006228276410033568,15,1,2
362,0.1301862040953196,0.0004525989773705913,15,1,3
363,0.1241726570639993,0.0006937820510568993,15,1,4
364,0.10892976282250981,0.0006049391403974629,15,1,5
365,0.12219321181161094,0.00044830476244189684,15,1,6
366,0.134533548009775,0.0005808081429773721,15,1,7
367,0.12795991548897068,0.0004159167298400912,15,1,8
368,0.12931233704294098,0.0007866327795156832,15,1,9
369,0.13099979154048563,0.0008548723711468814,15,2,1
370,0.13533776014870483,0.0007620609484175477,15,2,2
371,0.12307477213105976,0.0008142301932558053,15,2,3
372,0.1121623872078118,0.0007001058230518848,15,2,4
373,0.13420157940116345,0.0003813850074961726,15,2,5
374,0.11401921848542126,0.0003737944690529592,15,2,6
375,0.11229153730021564,0.0005822801833723178,15,2,7
376,0.11208764934787817,0.0003435855109957922,15,2,8
377,0.1363631669058865,0.0008539528556624712,15,3,1
378,0.12150387048135994,0.0003867969155839929,15,3,2
379,0.12202396831955366,0.0006151117099804335,15,3,3
380,0.11251855024234207,0.0007841313267885307,15,3,4
381,0.12403064736024676,0.0004418313887592376,15,3,5
382,0.11106904868171001,0.0009519683523661177,15,3,6
383,0.1245329314067919,0.00044968328344521287,15,3,7
384,0.13520032299825982,0.0005984160955240926,16,1,1
385,0.12718404065962688,0.0005594727950344803,16,1,2
386,0.11683514135439182,0.00026366196323194857,16,1,3
387,0.12937824262345154,0.0004990030014518733,16,1,4
388,0.12194647647135749,0.0010906210210946106,16,1,5
389,0.12300721118804625,0.0003788156694831537,16,1,6
390,0.11748634173540017,0.00047587233135319983,16,1,7
391,0.12468911030686737,0.0006395663429900543,16,1,8
392,0.11677898419347471,0.00110001420116149,16,1,9
393,0.13989032930738768,0.0006450168358402022,16,2,1
394,0.134891309767903,0.0003907963367658336,16,2,2
395,0.115866073047224,0.0005235662280441579,16,2,3
396,0.11545425090568226,0.0013326632148800718,16,2,4
397,0.10985409550847507,0.0005432492086031652,16,2,5
398,0.13189512546640048,0.0003377678187721075,16,2,6
399,0.11906177813906751,0.0004250510056112129,16,2,7
400,0.11804913395530867,0.0010672038287301332,16,2,8
401,0.12751473199069807,0.0003828858287163919,16,3,1
402,0.12855509295238257,0.0005012296021039253,16,3,2
403,0.12314588894485491,0.001142096943981078,16,3,3
404,0.12453108636013252,0.00033615435109464,16,3,4
405,0.11264080995748162,0.0005620471518363653,16,3,5
406,0.11183542310346489,0.0004416132600054304,16,3,6
407,0.11510856282546598,0.0007765547052141723,16,3,7
408,0.11859108374422951,0.0005456561416496427,17,1,1
409,0.1262985441295645,0.0005368541243570662,17,1,2
410,0.11945310095944925,0.0007352960886281673,17,1,3
411,0.12198006678818502,0.0005164261148244164,17,1,4
412,0.12076853782270447,0.0012685890762197775,17,1,5
413,0.11992853005958135,0.0002847215145033309,17,1,6
414,0.11987998564152133,0.0003332206564107746,17,1,7
415,0.13021023161185893,0.0005823384915369434,17,1,8
416,0.12015153209810381,0.0013424023097259915,17,1,9
